70세,threescore
동요하다,"oscillate; a children's song; float, rock, vacillate, wobble"
동의하다,"accede; agree, assent, concur, consent"
동점,standoff; tie
동창,kibe; a classmate; an East-facing window
동창회,homecoming; reunion
돛대에,before the mast
돛대의,masted
되감다,wind; unwind
되풀다,unreel
됨직하다,frame
두건,"wimple; coif, headcloth, hood"
두드리다,"knock; dab, percuss, hit and pound"
두절,lull; scolex
둔각,obtuse
둘러싸다,"impound; circle, encircle, engird, surround"
뒤덮다,"suffuse; coat, cover"
뒤집어서,outside; wrong
뒤흔들다,frisk; to shake violently
뒷거래하다,trade
뒷문,tailfate; backdoor; postern
뒷바퀴,tail wheel
드디어,at last; at length; 마침내. finally.
드리다,"offer; to render, to offer up, to tender"
드문,"like; rare, scarce, uncommon"
드문드문해지다,thin
득점,"chalk; the score, your test score, the scoring/points/tallying for a race"
들다감기들다,( take cold
들뜨다,"oat; to effervesce, be happy and carefree, giddy, to be all excited"
들리다,"ring; salute; to be audible, to be hearable"
들어가다,"walk; get contained inside (hold), invaginate (2)to get into (bath,pool) wat"
등고의,leveled
등급이다,grade
따개비,tear strip; barnacle
따르다,"listen; pour into a glass, pour; abide by, accede, comply, conform, lackey, resign"
따위,"or the like; et cetera, such, that ; derogative"
딴,"pulled; other ( short for 따른 a different kind); in your own way, from your point of view. 내 딴은 as for myself"
때때로,"not seldom; occasionally, sometimes"
때리다,"trim; walk; belt, clock, clout, strike, thrash"
때문에,"owing; for, because of, the fault of"
떠나다,"be off; take oneself off; abandon, depart, leave"
떠들썩함,tumult; being rowdy (a class of kids)
떠맡기다,"force; to impose, to obtrude"
떠오르는,orient; rising
떠오르다,"climb; to run across, to cross one's mind; rise up to the surface"
떨어져서,"off; in sunder; detachedly, distantly"
떫은,puckery; austere; rough
떳떳치못하게여기다,feel small
떼,"skein; turf, sod; bevy, body, caboodle, flock, swarm, troop"
똑딱거리다,tick
똑딱똑딱,ticktack; ticktock; knocking sound on sth sturdy
똥,"frass; casting; dead soldier, shit, turd"
뛰기,leap; running
뛰어들다,"immerge; dive, plunge"
뜯다,"thrum; to take a person`s money; pluck off, remove ; disassemble, take apart"
뜻밖에,"be taken aback; abruptly, unawares, unexpectedly"
라,la
라마승,lama
라테란궁,Lateran
라틴구,Latin Quarter
런던의,mall; commissionaire; Barts
레그쇼,leg show
로비,lobby
리놀륨,linoleum
리라,lira s; Lyra; lyre
마구간,mews; stables
마구실,tack room
마늘판벽,siding
마님,"my lady; memsahib; maam, milady, missis"
마루운동,floor exercise
마루형,floor model
마리화나,"mezz; cannabis, weed, marihuana"
마못류,paca
마부,"cabman; coachman, driver, horseboy, stableboy"
마비시키다,"numb; anesthetize, benumb, cauterize, paralyze"
마사지,massage
마상시합,tournament
마스크,"frisket; face guard, mask, respirator, visor"
마스타바,mastaba(h)
마스토돈,mastodon
마음속으로,in one's mind's eye; inside
마지막말,the last word
마지막으로,last
