70세,threescore
귀상어,hammerhead
귀석류석,almandine
귀성,mothering
귀성소의,homing
귀소,your office (polite discourse for your company)
귀속,"relegation, inheritance"
귀속시키다,escheat
귀속시킴,ascription
귀속하다,"escheat, reside within, to come under the jurisdiction of"
귀순,reduction
귀신,A ghost
귀신같이,"like a ghost who knows everything, Korean ghosts have a 6th sense"
귀신들린사람,energumen
귀싸개,earmuffs
귀앓이,earache
귀없는,earless
귀에지,"cerumen, earwax"
귀여운,"adorable, cute, pretty"
귀여운처녀,cutie
귀여움,dearness; prettiness
귀여워하는,caressing
귀여워하다,to cherish and consider/think fondly of
귀여워해서,fondly
귀염둥이,enfant cheri; nursling
귀엽게,prettily
귀엽다,To be cute
귀영북,tattoo
귀울음,tinnitus
귀의,auditory; conversion to Christianity
귀의시키다,convert
귀의자,"convert, devotee"
귀이개,earpick
귀인,"a dignitary, a mademoiselle"
귀있는,eared
귀재,wizard
귀점,self
귀족,"aristocrat, blue blood, noble, nobleman"
귀족다운,lordly
귀족답게,nobly
귀족사회,aristocracy
귀족스러운,silkstocking
귀족으로서,nobly
귀족의,"aristocratic, noble"
귀족임,lord; lordship
귀족적인,patrician
귀족주의,aristocratism
귀주위의,periotic
귀중,richness
귀중품,valuable
귀중품실,strongroom
귀중품함,till
귀중하다,To be precious
귀중한,"dear, precious, valuable"
귀중함,dearness
귀착,incidence; result
귀착시키다,refer
귀착하다,resolve; result
귀찬은,taxing
귀찮게하다,bother
귀찮다,Annoying irksome
귀찮다!,botheration
귀찮아!,knotted
귀찮아하는,sluggardly
귀찮은,"bothersome, burdensome, nettlesome, pesky, tiresome"
귀찮음,inconvenience; trouble
귀책,putting the blame on somebody
귀청,eardrum
귀통,a piece or part.
귀퉁이,"a corner, an angle of 90 degrees"
귀틀집,log cabin
귀티,appearing precious
귀하,"esquire, monsieur, polite for YOU"
귀하다,1) noble or high 2) dear 3) lovable or precious
귀하시키다,"nationalize, ise"
귀한,rare
귀항중의,homewardbound
귀항하다,resail
귀향,homecoming
귀화,naturalization
귀화시키다,to naturalize
귀화식물,an immigrant
귀화인,"denizen, a naturalized citizen"
귀화하다,to naturalize
귀환,"(being remanded), repatriation, returning back home"
귀환명령,a request to leave the country
귀환자,returnee
귓가,the rim of the ear
귓구멍,earhole; lughole
귓바퀴,"an auricle, a concha (the spiral of the earlobe); earflap"
귓볼,lobation
귓불,earlobe
귓속,The inner ear
귓속말의,auricular
귓의비름속,sedum
규격,"the specifications (the standard, the norm) ; the size"
규격대로의,normal
규격화,regimentation
규명,"soul-searching, a close examination"
규명하다,"to examine, to look into sth"
규모,Scale or scope or structure
규방,gynaeceum
규범,"(1) a model, pattern, (2) a canon, the norm, a code"
규범주의,prescriptivism
규산,silicic acid
규산아연광,willemite
규산염,silicate
규석,buhrstone
규선석,sillimanite
규소,"silica, silicon"
규소철,ferrosilicon
규암,quartzite
규약,"article, code of an agreement"
규율,"discipline, observance (for the purpose of maintaining social order)"
규율바르다,methodical
규장석,felsite
규정,"Provision or stipulation, acc. to the 규칙; a standard for one section alone"
규정대로,de regle
규정도,normalcy
규정식,diet
규정식표,diet list
규정액,normal solution
규정집,workbook
규제,"controls, regulations"
규제하다,to regulate
규조,diatom
규조류의,diatomaceous
규조토,kieselguhr
규조토의,diatomaceous
규중,"a woman's boudoir, make-up room"
규질암,chert
규칙대로,en regle
규칙바르게하다,regulate
규칙바른,regular; systematic
규칙서,rulebook
규칙위반자,scofflaw
규칙적,Be regular or systematic
규칙적으로,regularly
규칙적인,even; regular
규칙적인일,ninetofiver
규칙적임,regularity
규칙집,(the rulebook
규칙화하다,routinize
규탄,"censure, charge with an accusation"
규토,silica
규토륨광,thorite
규토의,silliceous
규토의규산,silieic
규페증의,silicotic
규폐증,silicosis
규합하다,rally
규화,silicification; sinter
규화물,silicide
규화하다,silicify
균,fungus
균등,"isometry, uniformity"
균등성,equability; evenness
균등한,equable; equational
균등화,equalization
균류학,fungology
균분법,equation
균사,hypha; mycelium
균상의,fungiform
균상종,fungoid
균상종의,fungous
균성의,fungoid; fungous
균세,"counterpoise, of the same power"
균세력,counterpoise
균세물,counterpoise
균압선,equalizer
균없는,sterile
균열,"chasm, rift, split"
균이없는,aseptic
균일,"being equal, being evenly applied"
균일가,the same price
균일론자,uniformitarian
균일설,uniformitarianism
균일성,uniformity
균일요금,a flat rate
균일하다,"to have been equally, uniformly applied"
균정,proportionment
균정한,regular
균주,bacteria
균질화하다,homogenize
균차,inequality
균포,volva
균학,mycology
균학자,mycologist
균혈증,bacteremia
균형,Balance or equilibrium
균형잡히다,poise
균형잡힌,"harmonious; well-proportioned, symmetric, well-balanced"
귤,A Jeju orange
그,That; He
그간,"the meantime, the interval"
그개척지,Nahal
그거,That thing
그것,That thing
그것만으로,such
그것에,whereto
그것으로,wherewith
그것으로부터,thereout
그곳,That place
그곳에,there
그곳으로,whereto
그기간,tenancy
그길이,yardage2
그까짓,"in such a trifling manner, sth not important at all"
그깟,"to just that small, insignificant extent"
그나마,Even though or nevertheless
그나저나,"in any case, in either case, anyhows"
그날,That day or that same day
그냥,Just because or in that condition
그네,swing
그녀,she
그놈,That person or that guy
그늘,1) shade 2)parental prodection
그늘의,shady
그늘지게하다,shade
그늘진,adumbral
그늘짐,shadiness
그다음,Next
그다지,So much or to that extent
그당시,then
그당시의,contemporary
그대,You or thou
그대로이다,to be just like that
그대로인,intact
그동안,During that time
그득하다,to be full (to think/appreciate/estimate that it's full enough though 
그들끼리만,interse
그들자신,themselves
그때,Then or at that time
그때그때의,casebycase
그때부터,thence
그라나다,Granada
그라놀라,granola
그라부산,Graves
그라울러,growler
그라인더,grinder
그라쿠스,Grabchus
그라탱,gratin
그란차코,Gran Chaco
그란투리스모,granturismo
그랍파,grappa
그랑프리,grand prix; grand prize
그래,"So or yes or that's right; Yes or that's right; well, gee, yeppers"
그래?,really
그래뉴당,granulated sugar
그래다,see 그렇다
그래미상,Grammy
그래비톤,graviton
그래서,And so accordingly; So or therefore
그래야,And so or and then
그래요!,quotha
그래요?,yes
그래포스코프,graphoscope
그래프,"chart, graph"
그래픽,Graphic
그래픽스=,graphics
그램,Gram
그램다량,gram equivalent
그램분자,mole3
그램센티미터,gramcentimeter
그러고,"in that way, in that manner"
그러나저러나,if you do like this or like that
그러니까,And so it is that
그러다,"and so, and then, well"
그러면,If so or if that is the case
그러모으다,scramble
그러므로,So or hence or therefore
그러자,and; whereat
그러하다,To be so or right; see 그렇다
그럭저럭,"somehow, soso, in the meantime"
그럭저럭하다,get
그런,Such a
그런고로,ergo
그런다고,because of having done that
그런대,now
그럴듯하게,glossily
그럴듯하다,Be plausible or specious or likely
그럴듯함,speciosity
그럴지라도,however
그럼,Certainly or of course.; Interjection: “yeh or that's right”
그럼안녕,cheer
그럼에도불구하고,nevertheless
그럼은요,certainly
그렇게,And so. like that
그렇겠지,sounds about right
그렇고말고요,certainly
그렇다,That is right or yes.; to do an action for an unspecified reason; to be like that
그렇다면,now
그렇듯이,"are like that, to be like that"
그렇소,exactly
그렇지,So it is or that is right
그렇지만,But or however
그렇지않으면,else
그렇지요?,eh
그레고리안성가,Gregorian
그레고리오,Gregory
그레고리오력,Gregorian calendar
그레고리오식망원경,Gregorian telescope
그레고리우스,Gregory
그레셤,Gresham
그레이,Gray
그레이브즈병,Graves' disease
그레이지색의,greige
그레이팬서,Gray Panther
그레이프프루츠,grapefruit
그레이하운드,greyhound
그레코로만형,GrecoRoman
그렌델,Grendel
그려지다,Draw
그로그레인,grosgrain
그로미코,Gromyko
그로스,gross
그로인,groin
그로테스크,bizarrerie
그로테스크풍,grotesque
그루,1) a root 2) stubble
그루갈이,"aftercrop, a second crop"
그루지야,Georgia
그루터기,"a butt end, a stock, a stub, a tree stump"
그룹,Group
그룹사이의,intergroup
그르노블,Grenoble
그르렁거리다,whoop
그르치다,"mess up with mistakes, mal administer, mull"
그르침,mull
그를,him
그릇,A vessel or receptacle
그릇된,fiefie
그릇받침,doylies
그릇읽다,misconstrue
그릇장,spence
그릉그릉하다,burr
그리,"So or to that extent, so much as"
그리고,And or and then
그리다,Picture or draw a picture
그리드,grid
그리로,Over there
그리스,"grease; Greece, the country"
그리스그리스,Greece
그리스도,Jesus Christ
그리스도교도,church
그리스도론,Christology (the study of ...)
그리스도론의,Christological
그리스도임,Christhood
그리스도할례제,circumcision
그리스식,"Grecism, Graecism"
그리스식의,Grecian
그리스어알파벳의일곱째글자,eta
그리스정교회,Greek Orthodox Church
그리스주의,hellenism
그리스컵,grease cup
그리스화,Hellenization
그리스화하다,Hellenize
그리운,old
그리움,Yearning or affection
그리워하는,sick
그리워하다,Yearn or be attached to
그리자이유,grisaille
그리젤다,Griselda
그리퍼,gripper
그리폰,griffon
그리하여,And then or and so or and now
그린,English: GREEN; painted
그린란드,Greenland
그린북,green book
그린산맥,Green Mountains
그린피스,Greenpeace
그릴,grillroom
그림,A picture
그림같은,picturesque
그림그리기,painting
그림문자,glyph; lexigram
그림물감,coloring; pigment
그림물감으로더러워진,painty
그림물감의,painty
그림붓,brushpencil
그림자,A shadow or a sillheoute or an image
그림카드,face card
그림판,drawing board
그림패,coat card
그림표지,glyph
그립,graph
그립다,Beloved or sweet or affectionate
그만,That much or a little amount
그만둔,leftoff
그만둬!,cheese
그만이다,to hit the spot
그만큼,That much or to that extent
그만하게,ordinarily
그만하다,Be about the same or be neither better nor worse
그모피,badger
그무곡,gallopade
그물,"a meshwork, a net"
그물눈,reticulation
그물뜨기,netting
그물레이스,net
그물로잡은,netted
그물모양,reticulation
그물모양의,"netty, reticular, retivulate"
그물모양의것,reticulation
그물버섯,morel
그물세공,"net, netting"
