threescore,"70세, 60세"
tester,"시험기, 시험자"
strikeoff,시험쇄
probative,"시험하는, 증명하는"
probatory,"시험하는, 증명하는"
catechize,시험하여물어보다
passer,"시험합격자, 합격검사증"
versification,"시형, 음문화, 작시"
prosodic,"시형론의, 운율학의"
prosodical,"시형론의, 운율학의"
rhodopsin,시홍소
lipreading,시화
speechreading,시화
lipread,시화하다
seigniory,시회
prescription,"시효, 처방"
etching,"식각법, 에칭"
aquatint,식각요판
freeloader,식객
rhizophagous,식근성의
dinnerware,식기류
dishware,"식기류, 접시류"
tableware,식기류
cuddy,식기실
carte,"식단표, 케뉴, 트럼프"
khidmatgar,식당계
busboy,"식당웨이터의조수, 접시닦이"
esophagus,식도
epicurean,"식도락의사람, 향락주의의"
esophageal,식도의
larder,식료저장실
grocery,"식료품류, 식료품점"
grocer,식료품상
pantry,식료품실
forestation,식림
silviculture,식림법
flora,"식물군, 식물상, 식물지, 플로라"
gork,식물인간
herbarium,식물표본집
botany,식물학
botanist,식물학자
planter,"식민자, 심는사람, 파종기"
colonialism,"식민정책, 식민지주의, 식민지풍"
colonialist,식민주의자
intercolonial,식민지간의
colonization,"식민지건설, 식민지화"
populate,식민하다
rigged,식범장의
discrimination,"식별, 차등"
discriminance,식별법
identifier,식별자
keyword,식별자
subfusc,"식복, 아마갈색의"
battels,식비
repast,식사량
mealtime,식사시간
glut,"식상, 포식"
indigestion,"식상하다, 위약, 체증"
vegetation,식생
phagocyte,식세포
sixtus,식스투스
soixanteneuf,식스티나인
sibilation,식식거림
saline,"식염제, 짠"
salinity,"식염제, 염분"
anorexia,식욕부진
inappetency,식욕부진
anorectic,식욕이없는
salep,"식용, 약용"
bullfrog,식용개구리
curd,"식용꽃, 응유"
escargot,식용달팽이
porker,식용돼지
esculent,"식용에알맞은, 식용품"
burnedout,"식은, 타버린"
refection,식음
feefawfum,식인귀
anthropophagous,식인의
cannibal,식인종
maneater,식인종
composing,식자
typesetting,"식자, 식자의, 조판"
intellectuals,식자
intellegentzia,식자
compositor,식자공
typesetter,식자공
typographer,"식자공, 인쇄공"
typeset,"식자하다, 조판하다"
ceremony,"식전, 의례, 의식"
aperitif,식전술
vinegar,"식초, 초, 횟감"
zoophyte,식충
insectivore,식충동물
carnivorous,"식충성의, 식충식물의, 육식"
insectivorous,식충성의
carnivore,"식충식물, 육식동물"
zoophytic,식충의
zoophytologist,식충학자
trimmer,"식칼, 장선받이, 틀장선"
tablecloth,식탁보
phagosome,"식포, 탐식액포"
groceries,"식품, 찬거리"
sitology,식품학
delight,"신, 유쾌, 즐기다"
god,"신, 신격화하다, 조물주, 하나님"
shoes,"신, 신발"
godlike,신같은
godhead,"신격, 신성"
godhood,신격
godship,"신격, 신위"
deification,"신격화, 신성시"
deific,신격화하는
divinize,신격화하다
nerves,신경
innervation,"신경감응, 신경분포, 신경자극전달"
neurotism,신경계
jitters,신경과민
nervosity,"신경과민소심, 신경질"
neurologist,"신경과의사, 신경학자"
neuroscience,신경과학
glioma,신경교종
neuroendocrine,신경내분비의
neuroendocrinology,신경내분비학
neuron,신경단위
neuronic,신경단위의
neurolysis,"신경박리술, 신경조직붕괴, 신경피로"
neuropathy,"신경병, 신경장애"
neuropathology,신경병리학
neuropathist,신경병전문가
neuropath,신경병환자
neurophysiology,신경생리학
neurobiology,신경생물학
neurasthenia,신경쇠약
neuropsychic,신경심리의
neuropsycical,신경심리의
neuropharmacology,신경약리학
neurodepressive,신경억제의
neurolinguistics,신경언어학
neuritis,신경염
neurosurgery,신경외과학
neurogenetics,신경유전학
neuroleptanalgesia,신경이완마취
neuroleptic,"신경이완제, 진통제"
neurotransmitter,신경전달물질
ganglionic,신경절의
nerving,신경절제
neurotomy,"신경절제, 신경해부학"
neuropsychiatric,신경정신병의
neuropsychiatrist,신경정신병의사
neuropsychiatry,신경정신병학
neuto-,신경조직
neuroma,신경종
nerve-ending,신경종말
neurotic,"신경증의, 신경증환자"
psycho,"신경증의, 정신병자, 정신분석"
nervine,신경진정제
irritating,"신경질나는, 아리게하는, 짜증나는"
highkeyed,신경질인
jumpy,신경질적
neuroprobe,신경침
neuralgia,신경통
neuralgic,신경통성의
antineuralgic,신경통약
neurology,신경학
neurological,신경학상의
neurotomist,신경해부가
neurochemistry,신경화학
neurochemical,신경화학물질
neoisolationism,신고립주의
neoisolationist,신고립주의자
novelty,"신고안품, 신기로움, 신형, 참신성"
declarant,신고인
presenter,"신고인, 앵커맨, 제출자, 증여자"
neoclassicism,신고전주의
theophobia,신공포
fuse,"신관, 융합시키다"
theomania,"신광증, 종교광"
protestantism,"신교, 신교도"
neologism,"신교리, 신어, 신어의, 신조어"
neofascist,"신국수주의자, 신파시스트"
theocrat,신권주의자
recruitment,"신규모집, 신병모집, 채용"
relet,신규셋집
recharter,"신규인가, 재계약"
neohellenism,신그리스주의
superhuman,"신기의, 신의, 초인적인"
magicaly,신기하게도
astounding,신기하다
unprecedented,"신기한, 파격적"
thinner,신나
neoromandticism,신낭만주의
faith,"신념, 신뢰, 신빙, 신심"
neodarwinism,신다윈설
cinderella,신데렐라
wunderkind,신동
syndicalism,신디칼리즘
neolamarckism,신라마르크설
neol,신라마르크설
pungency,신랄
scorchingly,"신랄하다, 통렬히"
seethingly,신랄하다
acrimonious,신랄한
blistering,"신랄한, 통렬하다"
piquant,"신랄한, 통쾌하다"
stinging,"신랄한, 얼얼한, 통렬하다"
acerbity,"신랄함, 신맛"
bridegroom,신랑
bridesman,신랑들러리
thrilling,"신령하다, 장렬한"
verdure,"신록, 신선함"
reliance,"신뢰, 신임, 의지, 의탁"
credibility,"신뢰성, 신빙성, 진실성"
neomalthusianism,신맬서스주의
neomelanesian,신멜라네시아말
deuteronomy,신명기
newspaper,"신문, 신문인쇄용지"
journalism,"신문업, 저널리즘"
newspapering,신문업무
journalese,신문용어
newsprint,신문용지
newspapers,신문지상
footwear,신발
sindbad,신배드
neoconservatism,신보수주의
neoconservative,"신보수주의의, 신보수주의자, 신보수파"
bridesmaid,신부들러리
neo-,신부활근대의
nearctic,신북아구의
newsboy,신분배달원
pagod,신불상
psychometry,신비력
occultism,"신비요법, 신비주의, 신비학"
mystifying,신비적
cabalistic,신비적인
cryptic,신비적인
occult,"신비적인, 엄폐"
anagoge,신비적해석
mystic,"신비주으자, 신비주의자"
mystify,신비화하다
neo-glaciation,신빙하
gentlemanlike,"신사다운, 신사적인"
gentlemanly,"신사다운, 신사적인, 예의바다"
gentlemanship,"신사다움, 신사임"
menswear,"신사복, 신사용품"
headinair,신사연하는
cenozoic,"신생대의, 신생대층"
neonate,신생아
neonatology,신생아학
palingenetic,"신생의, 재생의"
neolithic,신석기시대의
viridity,신선
freshly,신선하게
neologistic,"신설의, 신어의"
deity,"신성, 여신"
divinity,"신성, 신학"
deify,신성시하다
spiritual,"신성하다, 영적인, 종교의"
sinsemilla,신세밀랴
pun,신소리
swiftly,"신속히, 치솟다"
cincinnati,신시내티
neocolonialism,신식민지주의
neocolonial,신식민지주의자
faithless,신심없는
contraption,신안
neoteric,"신안의, 현대작가"
religioner,신앙가
fideism,신앙주의
neotropical,신열대구의
nephritis,신염
trustful,신용하는
unsupecting,신용하는
pyelitis,신우염
groan,"신음, 신음하다, 으르렁거리다"
moanful,신음하는
immortal,"신의, 영속하는"
anthropomorphism,신인동형동성설
theandric,신인의
position,"신임, 아치, 위, 위치"
accreditation,"신임장, 인가, 인정"
credentials,신임장
confide,"신임하다, 신탁하다"
entrant,신입자
elongation,신장
extension,"신장, 연장, 외연, 증축"
kidneys,"신장, 콩팥"
stature,"신장, 키"
extensometer,신장계
expander,신장기
nephropathy,"신장병, 신장해"
renal,신장부의
extensibility,"신장성, 연장성"
nephralgia,신장통
nephrology,신장학
nephrectomy,신적출
delphian,신전의
thearchy,"신정, 신정국"
theocracy,신정
theocratic,신정의
neocene,신제3기
neoimperialism,신제국주의
neoimperialist,신제국주의자
neoplasticism,신조형주의
neoplasitic,신조형주의의
carefulness,"신중, 용의주도"
caution,"신중, 예령, 조심, 조심성"
circumspect,"신중한, 주도"
considerate,신중한
measured,신중한
scrupulous,신중한
carefully,"신중히, 유심, 정성들여서, 중히"
crabwise,신중히
wellhandled,신중히다루어진
theosophist,신지론자
theosophize,신지론적으로생각하다
theosophy,"신지학, 정신론"
theosophic,신지학의
comelately,신참의
newbie,신참자
tyro,"신참자, 초학자"
albatross,신천옹
proposer,"신청인, 제안자"
rubdown,신체마찰
elasticity,"신축성, 쾌활함, 탄력, 탄성"
retractility,신축성
johnnycomelately,"신출내기, 지참자"
tenderfoot,"신출내기, 풋나기"
greenass,신출내기의
neo-kantian,신칸트파의
neo-keynesian,"신케이스주의의, 신케인스주의자"
cinchonidine,신코니딘
cinchonine,신코닌
sybthase,신타제
oracular,신탁의
syntality,신탤리티
wonderful,신통
theogony,신통계보학
scintiscanner,신티스캐너
scintiscanning,신티스캐닝
scintillator,신틸레이터
melodramatic,신파조의
neopentecostal,신펜테코스테파의
brandnew,신품의
firenew,신품의
neoplatonism,신플라톤주의
neocortex,신피질
neocortical,신피질의
allegiant,신하
subject,"신하, 제목, 주재, 주제"
vassalage,"신하됨, 예속"
theology,신학
seminary,"신학교, 온상"
seminarian,신학도
theologue,신학생
theologian,신학자
theological,신학적인
sinhalese,신할라이
neoantigen,신항원
emulgent,"신혈관, 이뇨제, 착출성의"
renovascular,신혈관의
neovascularization,신혈관형성
signaling,신호
signaler,"신호계, 신호기"
cornet,신호기
signaltonoise,"신호대, 잡음비"
signalman,신호수
towerman,신호원
beckon,"신호하다, 유인하다, 유혹하다"
newlywed,신혼
newmarried,신혼
newlyweds,신혼부부
myth,신화
neomonetarism,신화폐주의
mythology,신화학
mythologist,신화학자
up-and-coming,신흥
nics,신흥공업국
jumpedup,"신흥의, 우쭐해진"
boomer,신흥지역으로모이는사람
load,"싣다, 적재량, 적재하다, 짐싣다"
realize,"실감하다, 실행하다, 실현되다, 실현하다"
runnel,실개울
brooklet,실개천
incapacitation,실격
incapacitate,실격시키다
disqualify,실격시키다
anarthria,실구어증
incontinent,실금의
jerry,실내변기
housedress,"실내복, 홈드레스"
babouche,실내화
nxm,실념
siddhartha,실달다
dyslexia,실독증
dyslexic,실독증의
scilla,실라속
silenus,실레노스
silesia,"실레지아, 실레지아직"
meritocracy,실력사회
meritocrat,"실력자, 엘리트"
coelostat,실로스태트
psilocybin,실로시빈
memoir,"실록, 회상록"
ceylon,실론
cingalese,실론말
pekoe,실론산
ceylonese,실론의
silhouette,실루엣
pudding,"실리, 푸딩"
benefits,실리
cilicia,실리시아
practical,"실리적, 실용적인, 실지의"
banausic,실리적인
bob,"실링, 짧게자르다, 찌-휙움직이다, 휙움직임"
ihp,실마력
disappointment,실망
disappoint,"실망시키다, 실망하다"
substantival,실명사의
practically,"실무적, 실질상"
realia,실물교재
fullscale,"실물대의, 전면적, 전면적인"
filature,"실뽑기, 제사공장"
real-life,실생활의
truelife,실생활의
aphonia,실성증
aphonic,실성증의
moonstruck,실성한
substance,"실속, 실질, 실체, 요지"
mistake,"실수, 잘못"
real-valued,실수치의
practicum,실습과목
real-time,실시간의
faintness,"실신, 심약함"
aphasia,실어증
aphasic,실어증의
unemployment,"실업, 실업자수, 실직"
shuffler,실업자
utility,"실용, 유용, 유용물, 효용"
practicality,실용성
applicative,"실용적인, 응용적인"
pragmatism,"실용주의, 실제적임"
pragmatist,실용주의자
agnosia,실인
damselfly,실잠자리
substantialize,"실재시키다, 실재화하다, 실체화하다"
actual,"실재의, 실질소득"
achievements,실적
effectively,실제상
pragmatic,실제적인
existentialism,실존주의
existential,실존주의자
abscondence,실종
corraboratory,실증적
positivism,실증주의
positivist,실증주의자
historicist,"실증주의자, 전통주의자"
circumstantiate,실증하다
unemployed,실직한
parapraxis,"실착행위, 착행증"
messup,실책
handson,실천의
stereoscope,"실체경, 입체경"
stereoscopy,"실체경, 제조법법"
ontology,"실체론, 존재론"
hypostatize,실체시하다
ontic,"실체적인, 존재의"
stereogram,실체화
substantiation,"실체화, 입증"
substantiate,"실체화하다, 입증하다"
comedown,실추
silkscreen,실크스크린
stovepipe,실크해트
jigsaw,실톱
massy,실팍하다
fulfilment,실행
implementation,실행
doer,"실행가, 행위자"
runtime,실행시간
executioner,실행자
perform,"실행하다, 연기하다, 연주하다"
experiment,"실험, 실험하다"
experimentation,실험법
experimentally,실험상
laboratory,"실험실, 연구실"
experimental,"실험용, 실험적인"
experimentalism,실험주의
annulment,실효
invalidation,실효
irritate,"실효시키다, 안달하게하다, 짜증나게하다"
obnoxiously,싫게
loath,싫어하여
indisposition,"싫증, 이상"
cloying,싫증나게하는
heartbreaking,"싫증나는, 애달파"
wearied,싫증난
deeply,"심각하게, 심도있게, 짙게"
seriousness,"심각하다, 엄숙하다, 중대, 진지"
tachycardia,"심계항진, 심박급진"
myocardial,심균의
cardiomyopathy,심근증
heartstrings,심금
hypochondria,"심기증, 우울증, 히포콘드리증"
pericardium,심낭
pericarditis,심낭염
heartsick,심뇌하는
handspeak,심대
cardiometer,"심동계, 심장고동계"
simla,심라
foresight,심려
forethought,심려
partite,"심렴한, 째진"
psychics,심령연구
psychical,"심령의, 혼의"
cark,심로
examination,"심리, 심문, 심사, 점검"
inquisition,"심리, 심문, 종교재판"
psychodrama,심리극
psychological,"심리적, 심리적인"
psychologic,심리적인
psychology,심리학
psychologist,심리학자
psychologism,심리학주의
psychoanatomy,심리해부
pericardial,심막의
interrogation,"심문, 취조"
questioning,심문
sweatbox,심문실
interrogator,"심문자, 질문기, 질문자"
questioner,"심문자, 질문자"
interrogatory,"심문조서, 질문서"
interrogate,"심문하다, 추궁하다"
poppehead,심받침대
cymbal,심벌즈
hearting,"심벽, 심벽재료"
messenger,심부름꾼
heartrot,심부병
cymbidium,심비듐
imagery,심상
inscape,심상풍경
usual,"심상하다, 언제나의, 일반, 일상"
mentality,심성
bitchery,심술
badtempered,심술궂은
doggish,심술궂은
acidulous,심술궂은.
churl,심술꾸러기
grumpy,심술난
petulance,"심술사나움, 앵돌아짐"
petulancy,"심술사나움, 앵돌아짐"
psychosomatic,심신의
ventricle,심실
latenight,심야의
poorspirited,심약한
weakwilled,심약함
inculcate,심어주다
gulf,심연
phonocardiogram,심음도
psychogenic,심인성의
cardioscope,심장경
endocardial,심장내의
carditis,심장염
heartland,심장지대
cardialgia,심장통
cardiology,심장학
duramen,"심재, 적목질"
heartwood,"심재, 적목질"
electrocardiograph,심전계
ballistocardiogram,심전도
electrocardiogram,심전도
ballistocardiograph,심전도계
idolization,"심취, 우상화"
idolize,"심취하다, 우상화하다"
in-depth,"심층, 심층적"
thoughtwave,심파
referencing,심판
umpireship,심판
ref,심판관
umpire,"심판원, 심판자, 심판하다, 엄파이어"
adjudge,"심판하다, 판결하다"
cardiopulmonary,심폐의
carpel,"심피, 암술잎"
harshly,심하게
succuss,심하게흔들다
woeful,심한
cardiovascular,심혈관
decagon,십각형
decalogue,십계
testimony,"십계, 증명, 증언"
decahedron,십면체
decile,십분위수
duodenum,십이지장
duodenitis,십이지장염
duodenal,십이지장의
hookworm,십이지장충
ancylostomiasis,십이지장충증
tithe,십일조
crucifix,십자가
stauroscope,십자경
crosslight,십자광
cross-stitch,십자뜨기
tenpins,십주희
decimalization,십진법화
denary,십진의
tithing,십호반
singaporean,싱가포르의
catlap,싱거운음식
splashback,싱크대
synchro,싱크로
synchrocyclotron,싱크로사이클로트론
synchrotron,싱크로트론
synchroflash,싱크로프래시
cheaply,"싸게, 천하게"
icily,"싸늘하게, 얼음같이"
parky,싸늘한
iciness,싸늘함
clothe,"싸다, 입히다"
encase,싸다
enfold,싸다
infold,싸다
traipse,"싸다니다, 어정대다"
hail,"싸락눈, 환호"
fight,"싸우게하다, 싸우다, 싸움, 싸워얻다"
gamecock,"싸움닭, 투계"
rowdy,싸움좋아하는
battlefield,"싸움터, 전장, 전지"
broil,"싸움하다, 쬐기, 쬐다"
spiey,싸한
snipsnap,싹뚝싹뚝
imploring,"싹싹, 애원하는, 탄원하는"
entreating,싹싹
pleadingly,싹싹
chit,"싹이트다, 인물증명서, 전표"
burgeon,싹트다
budded,"싹튼, 아접한"
bobolink,쌀새류
act,"쌀쌀맞다, 연기하다, 출연하다, 행동하다"
curtly,쌀쌀하게
unapproachable,쌀쌀한
envelopment,"쌈, 포위"
pair,"쌍, 한쌍, 한자루"
bivlave,쌍각
hyperboloid,쌍곡면
hyperbola,쌍곡선
diplococcus,쌍구균
dipole,쌍극자
motherfucker,쌍놈
cat,"쌍동선, 육각기, 재즈연주가"
twins,쌍둥이
twin,쌍둥이의
gemini,"쌍둥이자리, 쌍자궁"
bilateral,"쌍무적인, 양자간"
bimotored,쌍발식의
twin-motored,쌍발의
biovular,쌍생아
bigeminal,"쌍생의, 이단맥, 이란성의"
binate,쌍생의
didymous,쌍생의
twinned,"쌍생의, 쌍정의"
amphiaster,쌍성상체
zwitterion,쌍성이온
scurrilous,쌍스러운
scurrilously,쌍스러운
exacta,쌍승식
diptera,쌍시류
dipteran,쌍시류
dipterous,쌍시의
bicentenarry,쌍심의
binoculars,쌍안경
bistability,쌍안정
bistable,쌍안정의
bifoliate,쌍엽의
bilinear,쌍일차의
nunchaku,쌍절곤
biconditional,쌍조건
doublebanked,쌍좌의
stowage,"쌓아넣기, 적하"
cumulate,쌓아올린
cumulation,쌓아올림
laying,쌓음
accumulative,쌓인
phit,"쌩, 핑"
zing,쌩
harrow,"써레, 써레질하다"
rotting,썩어가다
molder,썩어문드러지다
putrefy,썩이다
vitiate,썩이다
dice,"썰다, 주사위"
sled,썰매
nighthawk,쏙독새
nightjar,쏙독새
whippoorwill,쏙독새
sough,쏴아하다
wedge,쐐기
nettle,"쐐기털, 쐐기풀"
scrouge,쑤셔넣다
ache,"쑤시다, 통증"
rankle,쑤시다
atingle,"쑤시어, 얼얼하여, 흥분하여"
plonk,"쑥, 풍덩"
costmary,쑥국화
tansy,"쑥국화, 양톱풀"
gossiping,쑥덕공론하는
granite,"쑥돌, 화강, 화강석, 화강암"
embitter,쓰게하다
incipit,쓰기시작시작
invest,쓰다들이다
topple,쓰러뜨리다
fallen,"쓰러진, 파멸한"
cremator,"쓰레기소각로, 화장로"
laystall,쓰레기장
dustman,쓰레기청소부
garbology,쓰레기학
dustpan,쓰레받기
zunk,"쓱, 쿵, 퉁"
boondoggle,쓸데없는짓
hurting,쓸리다
availability,"쓸모, 유익, 유효"
unuseful,쓸모없는
dead,쓸모없이된
drearily,"쓸쓸하게, 적막하게"
lonesome,"쓸쓸하다, 외로운, 외롭다"
bleak,"쓸쓸한, 처량하다, 황량한"
joyless,쓸쓸한
expenses,"씀씀이, 운용비, 지출"
bitterish,씁쓸한
sheath,"씌우개, 엽초, 칼집"
wheeze,씨근거리다
stallion,"씨말, 종마"
stud,씨말
weft,씨실
seeds,씨앗
seedcase,씨주머니
gallantly,"씩씩하게, 용감하게, 친절하게"
valiantl,씩씩하다
valorous,씩씩한
grin,씩웃다
chew,씹음
swill,"씻가시기, 씻가시다"
arrah,"아!, 어머!"
oon,"아!, 앗!"
sonny,"아가, 얘, 얘야"
bub,아가
orifice,아가리
agama,아가마도마뱀
mis,아가씨
agapanthus,"아가판서스, 자주군자란"
subarid,아건조의
ageratum,아게라툼
subkingdom,아계
subalpine,아고산대의
subfamily,아과
glue,아교
gluey,아교성질의
colloidal,아교질
gelationid,아교질
glutinous,아교질
subregion,아구
aphtha,아구창
firepot,"아궁이, 화실"
fisherman,"아귀, 어민, 어부"
fighting,"아귀다툼, 전투, 투기"
inexhaustible,아귀센
agrapha,아그라파
yeahyeah,아그래
agrement,아그레망
aglycon,아글리콘
subacute,아급성의
chary,아까워하는
niggardly,아까워하는
grudge,"아끼다, 여한, 원한, 한"
stinginess,아낌
profusive,"아낌없다, 후한"
unstinted,"아낌없다, 활수한"
freely,"아낌없이, 여유롭다, 자유로이"
ananas,"아나나스, 파인애플"
anabas,아나바스
announcer,아나운서
anarcho,아나키스트
anatoxin,아나톡신
anatolia,아나톨리아
anatolian,아나톨리아의
subantarctic,아남극의
wife,"아내, 주부, 처"
uxorial,아내다운
wifely,아내다운
uxoricide,아내살해
wifehood,아내임
no,"아냐, 아뇨, 아니야, 아니요"
anergy,아네르기
anemone,아네모네
homey,아늑한
snug,"아늑한, 조촐하다"
lardydardy,아니꼬운
anime,아니메
anisomysin,아니소마이신
anise,아니스
be,"아니하다, 야, 있다, 전면에"
aniline,아닐린
adagio,아다지오장
subunit,아단위
adaline,아달린
adam,아담
graceful,"아담하다, 우미한"
subcontinent,아대륙
arthur,아더
adenauer,아데나워
adenovirus,아데노비루스
adenosine,아데노신
adenoid,아데노이드의
adenine,아데닌
adenyl,아데닐
aden,아덴
childhood,아동기
pedology,"아동학, 토양학"
pumpkinheaded,아둔하다
adrenalin,아드레날린
adriamycin,아드리아마이신
admetus,아드메토스
far-off,"아득하다, 아득히"
far-away,아득히
adirondack,아디론댁족
aragonese,아라곤의
arabia,아라비아
arab,"아라비아사람, 아랍"
arabic,"아라비아사람의, 아라비아어, 아라비아의"
arabian,아라비아의
atlas,"아라스, 지도, 지도책"
arras,아라스천
arachne,아라크네
arafat,아라파트
arhat,아라한
aramaic,아람어
fedayeen,아랍게릴라
arabism,아랍어법
arabist,아랍학자
arabize,아랍화하다
hereunder,아래에
infra,아래쪽에
downside,아래쪽의
downstairs,"아래층, 아래층에"
belowstairs,아래층에
parquet,아래층자리
chinbone,아래턱
underjaw,"아래턱, 하악"
underbelly,"아랫배, 하복부"
subordinate,"아랫사람, 종속시키다, 종속적"
underlip,아랫입술
areopagus,아레오파고스
arethusa,아레투사
dumbbell,아령
carve,"아로새기다, 조각하다"
aaron,아론
epigone,아류
are,아르
argali,아르갈리
argo,"아르고선, 아르고자리"
argos,아르고스
argon,아르곤
arginase,아르기나아제
arginine,아르기닌
arnica,"아르니카, 아르니카정기"
ardennes,아르덴
armadillo,아르마딜로
armenia,아르메니아
armenian,아르메니아의
arminian,아르미니우스의
arbovirus,아르보바이러스
ars,"아르스, 학예"
arcadia,아르카디아
archimedes,아르키메데스
archimedean,아르키메데스의
artemis,아르테미스
arpent,아르팡
arpeggio,아르페지오
argentina,아르헨티나
argentine,아르헨티나의
beautify,"아름다워지다, 축복하다"
ahriman,아리만
aristotle,아리스토텔레스
aristophanic,아리스토파네스풍
aria,"아리아, 영창"
aryan,아리아족
japhetic,"아리안계의, 야벳의"
ariel,아리엘
arius,아리우스
arian,아리우스의
aryl,아릴기
probably,"아마, 아마도"
amaryllis,아마릴리스
flaxen,"아마빛의, 아마의"
flaxseed,"아마씨, 아마인"
flaxy,아마의
amazonite,"아마조나이트, 천하석"
amazon,아마존강
amazonian,아마존강의
curbstone,"아마추어의, 연석"
cambric,아마포
amantadine,아만타딘
amalgam,"아말감, 혼합물"
amalgamation,"아말감화, 응결"
armalcolite,아말콜라이트
americium,아메리슘
hackmatack,아메리카낙엽송
transatlantic,아메리카의
afroamerican,아메리카인
inkberry,아메리카자리공
americana,아메리카지
sunbird,"아메리카지느러미발, 아프리카지느러미발, 태양새"
americanize,아메리카화하다
amoeba,아메바
amoebic,아메바의
amebiasis,아메바증
amoebiasis,아메바증
amethopterin,아메톱테린
amen,아멘
amos,아모스
amoy,아모이
xiamen,아모이
suborder,아목
ammon,아몬
amontilado,아몬틸라도
noone,아무도않다
offhand,"아무렇게나, 즉석에서"
soever,아무리이라도
howsoever,아무리일지라도
nowhere,아무짝에도
cicatrization,아물기
amygdalin,아미그달린
amygdalic,아미그달린의
dopa,아미노산의일종
aminotriazole,아미노트리아졸
aminopyrine,아미노피린
aminophylline,아미노필린
aminopterin,아미놉테린
amidol,아미돌
amide,아미드
amic,"아미드의, 아민의"
amish,아미시
amitabha,아미타
amytal,아미탈
amine,아민
amyl,아밀
amylase,아밀라제
amylose,아밀로오스
amyloid,"아밀로이드, 유전분체"
amylopectin,아밀로펙틴
amylopsin,아밀롭신
havana,아바나
avalement,아발망
avantgarde,"아방가르드, 전위"
fatherhood,아버지임
avesta,아베스타
abel,아벨
sycophancy,"아부, 아첨"
flunkysim,"아부주의, 하인근성"
encomiastic,"아부하는, 찬미의"
soother,아부하는사람
subarctic,아북극의
abraham,아브라함
abram,아브람
loon,아비
arsenite,아비산염
abyssinia,아비시니아
abyssinian,아비시니아의
arsenious,아비의
dad,아빠
oops,"아뿔싸, 어렵쇼"
aesir,아사신족
crispy,아삭아삭하는
assam,아삼
assemblagist,아상블라지스트
ashanti,아샨티
arthurian,아서와의
catechu,아선약
donjon,아성
substratosphere,아성층권
acetal,아세탈
acetone,아세톤
acetanilide,"아세트아닐리드, 진통해열제"
acetaminophen,아세트아미노펜
acetamide,아세트아미드
acetaldehyde,아세트알데히드
acetyl,아세틸
acetylene,아세틸렌
selenite,아세틸렌산염
acetylcholine,아세틸콜린
asher,"아셀, 아셀족"
subgenus,아속
asuncion,아순시온
asgarde,아스가르드
ashtoreth,아스다롯
asclepius,아스클레피오스
astatine,아스타틴
astraea,아스트라이아
astrakhan,아스트라칸
astyanax,아스티아낙스
asparagus,아스파라거스
asparagine,아스파라긴
aspartokinase,아스파르토키나제
aspasia,아스파샤
asphalt,아스팔트
asphaltite,아스팔트광
asphaltic,아스팔트의
aspirator,"아스퍼레이터, 흡인기"
aspergillosis,아스페르길루스증
asphodel,아스포델
aspirin,아스피린
critically,"아슬아슬하게, 혹평하여"
unclear,아슴하다
assyria,아시리아
assyriology,아시리아학
asia,"아시아, 아시아주, 아태"
asian,"아시아사람, 아시아의, 아시아풍의"
asiatic,아시아사의
asianization,아시아화
abu,아시안방송연합
ashkenazi,아시케나지
madam,아씨
ouch,아야!
yipe,"아야!, 어렵쇼!, 이크!"
ayatollah,아야톨라
fawning,"아양부리는, 아첨하는, 알랑거리는"
aegir,아에기르
zinc,아연
zincoid,아연같은
spelter,아연봉
zincate,아연산염
zincograph,아연철판
dumbfound,아연케하다
semitropical,아열대의
subtropic,아열대의
chlorous,아염소산의
subtemperate,아온대의
catfight,아옹거림
augean,아우게이아스
aureus,아우레우스
unify,"아우르다, 통일하다"
auschwitz,아우슈비츠
outro,아우트로
outdrop,아웃드롭
outsourcing,"아웃소싱, 용역"
outcurve,"아웃커브, 외곡구"
caterwaul,아웅거림
bopeep,아웅깍꼭놀이
subatom,아원자
asafetida,아위
ferula,아위속
aegisthus,아이기스트스
ainu,아이누사람의
children,아이들
tickover,아이들링
aymara,아이마라족
eyebolt,아이볼트
isostasy,아이소스타시
isospin,"아이소스핀, 하전스핀"
isotron,아이소토론
chocbar,아이스초코바
icelandic,아이슬란드의
aeacus,아이아코스
iowa,아이오와
aioli,아이올리
aeolis,아이올리스
ichor,"아이코어, 영액, 이코르"
crumbs,아이쿠
haitian,아이티섬
phosphite,아인산염
einstenium,아인슈타이늄
einsteinian,아인슈타인의
ireland,아일랜드
azania,아자니아
azarole,아자롤
ajanta,아잔타
subequatorial,아적도대의
rnase,아제
sublittoral,아조간대
azobenzene,아조벤젠
azo,아조의
subtribe,아족
subspecies,아종
branknew,아주새로운
vestpocket,아주작은
altogether,"아주전혀, 전부해서"
azov,아즈라엘
azide,"아지드, 아지화물"
hideaway,"아지트, 오락장, 은신처"
agitprop,아지프로의
azilian,아질기
nitrite,아질산염
giddily,아찔하게
faintish,아찔한
whoops,"아차, 으악!, 이크"
adulation,"아첨, 알랑거림"
flatterer,아첨꾼
sycophant,"아첨꾼, 아첨쟁이, 알랑쇠"
toadeater,아첨꾼
sugary,아첨의
asskisser,아첨쟁이
suckup,아첨쟁이
toady,"아첨쟁이, 아첨하다"
adulatory,"아첨하는, 알랑거리는"
flattering,"아첨하는, 알랑거리는"
kissass,아첨하는
sycophantic,"아첨하는, 알랑거리는"
toadeating,아첨하는
