threescore,"70세, 60세"
frisk,"뒤흔들다, 까불다, 까붊"
trade,"뒷거래하다, 거래, 교역, 매매"
tailfate,뒷문
offer,"드리다, 매출, 바치다, 신청"
thin,"드문드문해지다, 솎다, 가냘픈, 깊이없는"
chalk,"득점, 백악, 백악질, 분필"
oat,"들뜨다, 보리피리"
ring,"들리다, 가락, 고리, 곡마장"
salute,"들리다, 비치다, 경례, 예포"
walk,"들어가다, 때리다, 보통걸음, 걷다"
leveled,"등고의, 등격의"
grade,"등급이다, 경사, 계급, 급수"
pulled,딴
trim,"때리다, 조절하다, 건강상태, 다듬다"
owing,때문에
tumult,떠들썩함
force,"떠맡기다, 강제하다, 지배력"
orient,"떠오르는, 동양"
climb,"떠오르다, 기어오르다, 기어오름, 등귀하다"
puckery,"떫은, 떫다"
skein,"떼, 엉클림"
tick,"똑딱거리다, 꺽자치다, 똑딱, 베갯잇"
ticktack,똑딱똑딱
ticktock,똑딱똑딱
frass,똥
casting,"똥, 던짐, 배역, 주물"
leap,"뛰기, 도약하다, 약동하다"
immerge,뛰어들다
thrum,뜯다
la,라
lama,"라마승, 달라이라마, 대라마"
lateran,라테란궁
mall,런던의
lobby,로비
linoleum,리놀륨
mews,"마구간, 아파트"
siding,"마늘판벽, 가담, 대피선, 편들기"
memsahib,마님
mezz,마리화나
paca,마못류
cabman,"마부, 택시운전사"
numb,"마비시키다, 곱은, 마비된, 민수기"
massage,"마사지, 안마"
tournament,"마상시합, 토너먼트"
frisket,마스크
mastodon,마스토돈
traction,마찰
maquis,"마키, 악한"
membranal,막의
mandoline,만돌린
doneness,만듦새
overgrow,만연하다
packed-out,만원인
supply,"만족시키다, 공급물, 공급하다, 보급"
funny,"만화란, 우스꽝스럽다, 우스운, 우습게"
many,"많은, 많다, 뭇, 여러"
man,"말, 문인, 부부, 인간"
malathion,말라티온
liquid,"맑은, 액체, 액체의, 유동체"
manganese,망간
mango,망고
mangosteen,망고스틴
jib,망설이다
martel,망치
catch,"맞다, 받다, 불붙다, 잡다"
sit,"맞다, 개회하다, 착석시키다, 착석하다"
gearing,"맞물림, 전동장치"
usher,"맞아들이다, 조교사, 안내인, 전갈하다"
fomites,매개물
denunciation,"매도, 매도헤지"
scathing,매도
marketing,"매매, 마케팅"
mashie,매시
kiosk,"매점, 정자"
week,"매주마다, 주, 취업일"
pulsation,"맥동, 진동, 동계, 박동"
maltose,맥아당
mangrove,맨그로브
mandragora,맨드레이크
mantle,"맨틀, 망토"
acrolith,머리
scalp,머릿가죽
remote,"먼, 거의없는, 궁벽한, 외딴"
flossy,멋부린
queen,"면, 모기, 퀸, 여왕"
linsey,면모교직
quit,"면하여, 처신하다, 놓아버리다, 자유로와"
legend,"명, 설명문, 성도전, 일러두기"
ming,"명나라, 명조"
certain,"몇개, 반드시하는, 어느, 일정하다"
sacred,"모신, 바친, 성례, 신성하다"
simulation,"모의실험, 꾀병"
simulator,모의실험
sham,"모의전, 사이비, 속임, 엉터리"
own,모조리자백하다
logie,모조보석
hardgrained,모진
tempt,"모험하다, 꾀다"
choker,목걸이
backsword,목검
singlestick,"목검술, 목도"
hunt,"몰아넣다, 몰이하다, 박해하다, 사냥"
flounce,"몸부림침, 뛰어나가다, 버둥거림, 자락주름장식"
mitty,몽상가
nostrum,"묘안, 만병통치약, 특효약"
knuckle,"무고기, 항복하다, 마디, 손가락관절"
founder,"무너뜨리다, 비조, 시조, 제엽염"
without,"무단히, 말고, 없이, 외부에"
choreography,"무도법, 무용술, 안무"
prom,"무도회, 댄스파티"
knee,무릎
marrowbone,무릎
kneepad,무릎가리개
lap,"무릎부분, 아랫자락, 접어겹치다, 철렁거리다"
overrun,"무성하다, 만연, 초과하다"
mime,"무언극, 마임, 흉내쟁이"
wireless,"무전국, 라디오의, 무선"
gentleman,"무직자, 해적, 남자분, 모험가"
table,"묵살하다, 고원, 대지, 리스트"
written,"문어, 성문법, 필기시험"
literary,"문어체, 문학작품, 판권, 문어적인"
case,"문제, 겉포장, 던져진것, 덮개"
hydrosphere,"물기, 수권, 수계"
foil,"물리치다, 좌절시키다, 아말감, 플러레"
talus,"물매진면, 거골, 경사면"
gi,"미군병사, 여군병사, 관급의, 군대식의"
microsome,"미립체, 마이크로솜"
microtubule,미소관
micmac,미크맥족
tailer,미행자
mixer,"믹서, 교제가, 혼합기"
sunfish,"민물고기, 개복치"
tuck,"밀어넣다, 징그다, 호다, 징그기"
floorboard,"바닥, 바닥널, 청널"
caper,"바람잡이, 희롱거리다"
cheat,"바람피우다, 사취하다, 속이다, 커닝"
tor,바위산
hurdle,"바자, 뛰어넘다, 허들"
telescope,"박다, 망원경"
scandal,"반감, 의옥, 추문"
meshugazine,반권위적
marking,"반문, 채점"
reflective,"반사적인, 묵상적인, 반사하는, 반성하는"
counterexample,"반증, 반례"
waver,"반짝이다, 비틀거리다, 어물거리다, 우물쭈물하다"
demivolt,반회전
treasuretrove,발굴재
launcher,발사대
footplate,발판
footrest,"발판, 발결이"
floccus,"방상의, 솜털, 털뭉치, 방모"
tailrace,방수로
floodgate,"방출구, 방조문, 수문"
prohibit,"방해하다, 불가능하게하다"
floatage,"배, 건현"
flotage,"배, 건현, 부력"
coulisse,배경
shareout,"배급물, 배당물"
visa,"배서하다, 사증"
scupper,배수구
frogeye,백성병
mooncalf,백치
vantage,밴티지
cinch,"뱃대끈, 꽉쥐다, 안장띠, 죄다"
salt,"뱃사람, 소금, 식염"
propagation,"번식, 전파, 보급, 증식"
chastise,"벌하다, 혼내주다"
overflow,"범람하다, 넘치다, 배수로, 충만"
latitude,"범위, 자유, 관용도, 위도"
malice,"범의, 악의"
transgress,범하다
calk,베끼다
log,"베어내다, 로그, 통나무"
landgrave,변경백
maggot,"변덕, 구더기"
jargon,"변말, 전문어, 횡설수설"
violent,"변사, 격하다, 난폭하다, 매섭다"
metamorphic,"변성암, 변성의"
latrine,변소
malposition,변위
taint,"병독, 기미, 더럽히다, 오염하다"
fodder,"병사들, 마초, 사료"
procesverbal,보고서
than,"보다, 하기보다는"
bundle,"보따리, 꾸러미, 다발, 싸다"
forbearance,"보류, 참음"
ptisan,보리차
infantryman,보병
look,"보살피다, 눈매, 여겨지다, 인상"
prosthetics,보철술
pugilistic,복서의
minidose,복용약
main,"본관, 간선, 요인, 주"
mammon,"부, 배금"
vote,"부결하다, 선거하다, 투표, 투표권"
tarsus,부골
manus,부권
kulak,부농
malpractice,부당치료
hurtle,부딪히다
forehead,"부분, 이마"
hoot,"부엉부엉울다, 야유하다"
lady,"부인, 숙녀"
zenana,부인방
studied,"부자연스런, 박식하다, 정통한"
matronage,부장들
foulbrood,부저병
embryoid,"부정배, 배양체"
punka,부채
punkah,부채
inflate,"부풀게하다, 과장하다, 부풀다, 뽐내다"
shuttle,북
subtreasury,분고
prism,"분광, 각기둥, 프리즘"
nimbus,"분위기, 난운, 비구름, 후광"
numerator,분자
fractionalize,분할하다
puff,"불다, 부풂, 숱, 입김"
ahimsa,불살생
forceland,"불시착시키다, 불시착하다"
flirtatious,"불장난하는, 시시덕거리는"
ff,불합격자
magot,붉은털원숭이
linchpin,비녀장
flightmuscle,비상근
open,"비어있는, 열다, 개, 개방적"
franctireur,비정규병
wring,"비틀다, 짜내다, 짜기"
clean,"빈, 결백하다, 담백, 말끔한"
watertight,빈틈없는
luminous,"빛나는, 명쾌하다"
throw,"빠뜨리다, 연결, 내동댕이치다, 던지다"
downed,빠져든
nurse,"빨다, 간호사, 간호하다, 고치려애쓰다"
toke,빵
wipe,"빼다, 닦기, 닦아내다"
usurp,빼앗다
bold,"뻔뻔하다, 가파른, 당돌하다"
brazen,"뻔뻔하다, 놋쇠로만든, 놋쇠빛의, 뻔뻔스러운"
value,"뽐내다, 값어치, 대가, 액면금액"
minaret,뾰족탑
inseminate,"뿌리다, 수태시키다"
throwaway,삐라
housemaster,사감
foulness,"사나움, 불결, 악랄"
macho,사나이
scalingladder,"사다리, 공성"
oracle,"사람, 신탁, 현인"
leo,"사자궁, 사자자리"
scriptorium,"사자실, 기록실, 필사실"
lollipop,"사탕, 교통지시관"
time,"삭이다, 근무시간, 기원, 때"
money,"삭이다, 공들다, 금전, 돈"
ovipositor,산란관
thickset,"산울타리, 빽빽한"
mosstrooper,"산적, 습격자"
hillbilly,산지사람시골뜨기
montagnard,산지인
marina,"산책길, 정박소"
producing,산출하는
maieutic,산파술의
skin,"살갗, 살가죽, 피부"
flicker,"살랑거림, 가물거리다, 깜박이는빛, 딱다구리"
catamountain,"삵쾡이, 싸움군"
upperclass,"상급의, 상류의"
adversary,상대방
livery,"상복, 정식량, 제복"
weed,"상봉, 잡초를제거하다, 마리화나, 잡초"
overshot,상사식의
maxilla,"상악골, 위턱, 턱뼈"
cross-purpose,상치
reedy,새된
throughput,"생산, 처리량"
living,"생지옥, 살림, 생계, 생계의"
sleep,"서다, 헤프다, 동면, 마비되다"
witness,"서명하다, 목격하다, 증언하다"
subroutine,서브루틴
lime,"석회수, 보리수, 석회"
ormazd,선신
doxy,설
wash,"설거지하다, 씻어내다, 늪, 떠내려보내다"
sad,"설구워진, 구슬프다, 서글프다, 서럽다"
sadness,"설구워진, 서글품, 울적"
clapper,"설렁, 딱다기"
illustrate,"설명하다, 도해하다, 예증하다"
